#primary_id	ncar_flag	igra2_flag	bufr_flag
0-20000-0-57245          	1                        	1                        	1                        	1                        /raid60/scratch/federico/databases/UADB//uadb_windc_57245.txt	/raid60/scratch/federico/databases/IGRAv2//CHM00057245-data.txt	/raid60/scratch/leo/scratch/era5/odbs/ai_bfr/era5.57245.bfr
# ncar		ANKANG		32.53		109.35		1959-09-20		2002-09-30
# bufr		ANKANG		32.53		109.35		1959-09-20		1978-12-31
# igra2		ANKANG		32.43		109.02		1960-01-01		2002-12-31
0-20000-0-13333          	1                        	-1                       	1                        	1                        /raid60/scratch/federico/databases/UADB//uadb_windc_13333.txt	-1	/raid60/scratch/leo/scratch/era5/odbs/ai_bfr/era5.13333.bfr
# ncar		SPLIT/MARJAN		43.52		16.43		1969-11-01		1971-06-27
# bufr		SPLIT/MARJAN		43.52		16.43		1969-10-31		1971-06-26
# igra2		-		-		-		-		-
0-20000-0-34147          	-1                       	-1                       	-1                       	-1                       -1	-1	-1
# ncar		-		-		-		-		-
# bufr		-		-		-		-		-
# igra2		-		-		-		-		-
0-20000-0-12814          	-1                       	1                        	-1                       	-1                       -1	/raid60/scratch/federico/databases/IGRAv2//USW00012814-data.txt	-1
# ncar		-		-		-		-		-
# bufr		-		-		-		-		-
# igra2		TAMPA BAY AREA, FL.		27.383		-82.55		1943-01-01		1945-12-31
0-20000-0-20420          	-1                       	-1                       	-1                       	-1                       -1	-1	-1
# ncar		-		-		-		-		-
# bufr		-		-		-		-		-
# igra2		-		-		-		-		-
0-20000-0-74630          	-1                       	1                        	-1                       	-1                       -1	/raid60/scratch/federico/databases/IGRAv2//USM00074630-data.txt	-1
# ncar		-		-		-		-		-
# bufr		-		-		-		-		-
# igra2		STALLION AAF, NM		33.8		-106.667		1956-01-01		1960-12-31
0-20000-0-70174          	-1                       	-1                       	1                        	1                        -1	-1	/raid60/scratch/leo/scratch/era5/odbs/ai_bfr/era5.70174.bfr
# ncar		-		-		-		-		-
# bufr		BETTLES		66.92		-151.52		1976-07-07		1978-08-16
# igra2		-		-		-		-		-
0-20000-0-11918          	-1                       	-1                       	-1                       	-1                       -1	-1	-1
# ncar		-		-		-		-		-
# bufr		-		-		-		-		-
# igra2		-		-		-		-		-
0-20000-0-83377          	-1                       	-1                       	-1                       	-1                       -1	-1	-1
# ncar		-		-		-		-		-
# bufr		-		-		-		-		-
# igra2		-		-		-		-		-
0-20000-0-10200          	1                        	1                        	1                        	1                        /raid60/scratch/federico/databases/UADB//uadb_windc_10200.txt	/raid60/scratch/federico/databases/IGRAv2//GMM00010200-data.txt	/raid60/scratch/leo/scratch/era5/odbs/ai_bfr/era5.10200.bfr
# ncar		EMDEN-FLUGPLATZ		53.37		7.22		1952-04-27		2011-08-31
# bufr		EMDEN-FLUGPLATZ		53.35		7.22		1966-12-14		1978-12-29
# igra2		EMDEN-FLUGPLATZ		53.389		7.227		1952-01-01		2011-12-31
0-20000-0-43271          	-1                       	-1                       	-1                       	-1                       -1	-1	-1
# ncar		-		-		-		-		-
# bufr		-		-		-		-		-
# igra2		-		-		-		-		-
0-20000-0-48501          	-1                       	-1                       	-1                       	-1                       -1	-1	-1
# ncar		-		-		-		-		-
# bufr		-		-		-		-		-
# igra2		-		-		-		-		-
0-20000-0-07558          	1                        	-1                       	1                        	1                        /raid60/scratch/federico/databases/UADB//uadb_windc_7558.txt	-1	/raid60/scratch/leo/scratch/era5/odbs/ai_bfr/era5.7558.bfr
# ncar		MILLAU		44.12		3.02		1966-03-01		1984-06-26
# bufr		MILLAU		44.12		3.02		1966-03-01		1972-08-17
# igra2		-		-		-		-		-
0-20000-0-70222          	1                        	1                        	1                        	1                        /raid60/scratch/federico/databases/UADB//uadb_windc_70222.txt		/raid60/scratch/leo/scratch/era5/odbs/ai_bfr/era5.70222.bfr
# ncar		GALENA A.		64.73		203.07		1962-03-05		2008-06-17
# bufr		GALENA A.		64.73		-156.93		1962-03-05		1978-08-20
# igra2		GALENA A.		64.717		-156.9		1942-01-01		1947-12-31
0-20000-0-24579          	-1                       	-1                       	1                        	1                        -1	-1	/raid60/scratch/leo/scratch/era5/odbs/ai_bfr/era5.24579.bfr
# ncar		-		-		-		-		-
# bufr		JAKUTSK		62.02		129.72		1958-05-02		1962-10-29
# igra2		-		-		-		-		-
0-20000-0-4187           	-1                       	-1                       	-1                       	-1                       -1	-1	-1
# ncar		-		-		-		-		-
# bufr		-		-		-		-		-
# igra2		-		-		-		-		-
0-20000-0-66410          	1                        	-1                       	1                        	1                        /raid60/scratch/federico/databases/UADB//uadb_windc_66410.txt	-1	/raid60/scratch/leo/scratch/era5/odbs/ai_bfr/era5.66410.bfr
# ncar		MENONGUE (SERPA PINTO)		-14.65		17.68		1953-09-01		1972-07-25
# bufr		MENONGUE (SERPA PINTO)		-14.65		17.68		1966-06-13		1972-07-25
# igra2		-		-		-		-		-
0-20000-0-45709          	-1                       	-1                       	1                        	1                        -1	-1	/raid60/scratch/leo/scratch/era5/odbs/ai_bfr/era5.45709.bfr
# ncar		-		-		-		-		-
# bufr		ATTU		52.8		173.16		1958-01-01		1958-06-24
# igra2		-		-		-		-		-
0-20000-0-31371          	-1                       	-1                       	-1                       	-1                       -1	-1	-1
# ncar		-		-		-		-		-
# bufr		-		-		-		-		-
# igra2		-		-		-		-		-
0-20000-0-71852          	1                        	1                        	1                        	1                        /raid60/scratch/federico/databases/UADB//uadb_windc_71852.txt	/raid60/scratch/federico/databases/IGRAv2//CAM00071852-data.txt	/raid60/scratch/leo/scratch/era5/odbs/ai_bfr/era5.71852.bfr
# ncar		WINNIPEG RICHARDSON INT'L A, MAN		49.9		262.77		1962-03-04		1997-05-31
# bufr		WINNIPEG RICHARDSON INT'L A, MAN		49.9		-97.23		1962-03-04		1972-12-26
# igra2		WINNIPEG RICHARDSON INT'L A, MAN		49.9		-97.233		1973-01-01		1997-12-31
0-20000-0-33834          	-1                       	-1                       	-1                       	-1                       -1	-1	-1
# ncar		-		-		-		-		-
# bufr		-		-		-		-		-
# igra2		-		-		-		-		-
0-20000-0-94237          	-1                       	-1                       	-1                       	-1                       -1	-1	-1
# ncar		-		-		-		-		-
# bufr		-		-		-		-		-
# igra2		-		-		-		-		-
0-20000-0-07180          	1                        	1                        	1                        	1                        /raid60/scratch/federico/databases/UADB//uadb_windc_7180.txt	/raid60/scratch/federico/databases/IGRAv2//SBM00071805-data.txt	/raid60/scratch/leo/scratch/era5/odbs/ai_bfr/era5.7180.bfr
# ncar		NANCY-ESSEY		48.7		6.22		1949-02-09		2011-04-21
# bufr		NANCY-ESSEY		48.7		6.22		1958-01-01		1978-12-31
# igra2		NANCY-ESSEY		48.683		6.217		1954-01-01		2010-12-31
0-20000-0-84390          	1                        	1                        	1                        	1                        /raid60/scratch/federico/databases/UADB//uadb_windc_84390.txt	/raid60/scratch/federico/databases/IGRAv2//PEM00084390-data.txt	/raid60/scratch/leo/scratch/era5/odbs/ai_bfr/era5.84390.bfr
# ncar		TALARA		-4.57		278.75		1939-08-03		1981-05-26
# bufr		TALARA		-4.57		-81.25		1971-08-05		1972-12-31
# igra2		TALARA		-4.567		-81.233		1973-01-01		1980-12-31
0-20000-0-94640          	-1                       	-1                       	-1                       	-1                       -1	-1	-1
# ncar		-		-		-		-		-
# bufr		-		-		-		-		-
# igra2		-		-		-		-		-
0-20000-0-2224           	-1                       	-1                       	-1                       	-1                       -1	-1	-1
# ncar		-		-		-		-		-
# bufr		-		-		-		-		-
# igra2		-		-		-		-		-
0-20000-0-15704          	-1                       	-1                       	1                        	1                        -1	-1	/raid60/scratch/leo/scratch/era5/odbs/ai_bfr/era5.15704.bfr
# ncar		-		-		-		-		-
