	station_id	WMO_id	station_name	latitude	longitude
486	5543	-999	Jacobabad	28.28	68.45
487	5544	-999	Jhelum	32.93	73.72
488	5545	-999	Jiwani	25.05	61.75
489	5546	-999	Karachi	24.88	67.12
490	5547	-999	Khanpur	28.65	70.63
491	5548	-999	Lahore	31.62	74.4
492	5549	-999	Multan	30.23	71.42
493	5550	-999	Peshawar	34.0	71.52
494	5551	-999	Quetta	30.25	66.93
495	5552	-999	Sharjah	25.35	55.4
496	5553	-999	Sylhet	24.9	91.87
497	5554	-999	Veraval	20.92	70.35
498	5555	-999	Akureyrarkaupstaður	65.65	-18.07
499	5556	-999	Arosa	46.78	9.67
500	5557	-999	Friedrichshafen	47.67	9.52
501	5558	-999	Hinaidi (near Bagdad)	33.33	45.0
502	5559	-999	Shaibah (near Basrah)	30.5	47.0
503	5563	-999	Mt. Evans	66.85	-50.92
504	5568	-999	Batouri	4.45	14.37
505	5570	-999	Koundja	5.63	10.75
506	5571	-999	Yaounde	3.83	11.52
507	5572	-999	Filipstad	59.72	14.17
508	5573	-999	Abisko	68.35	18.83
509	5574	-999	Ajaccio	41.924	8.763
510	5619	-999	Roma	41.87	12.77
511	5632	-999	Aldergrove	54.66	-6.23
512	5644	-999	Bordeaux	44.83	-0.58
513	5646	-999	Borkum	53.58	6.68
514	5647	-999	Bratislava	48.15	17.1
515	5648	-999	Bremen	53.05	8.8
516	5650	-999	Bruxelles	50.9	4.5
517	5653	-999	Calais	50.95	1.87
518	5668	-999	Erfurt	50.97	11.02
519	5674	-999	Friedrichshafen	47.65	9.48
520	5675	-999	Ft. Flatters	28.15	6.83
521	5676	-999	Gabès	33.9	10.1
522	5686	-999	Hof	50.32	11.92
523	5687	-999	Innsbruck	47.27	11.4
524	5692	-999	Kiel	54.32	10.13
525	5694	-999	Köln	50.87	7.17
526	5709	-999	Malta	35.9	14.51
527	5725	-999	Plauen	50.5	12.13
528	5728	-999	Rabat	34.02	-6.83
529	5730	-999	Reims	49.25	4.03
530	5734	-999	Riksgränsen	68.43	18.13
531	5741	-999	Sevilla	37.38	-6.0
532	5745	-999	Stockholm	59.35	17.95
533	5747	-999	Stuttgart	48.68	9.22
534	5748	-999	Swinemünde	53.92	14.23
535	5750	-999	Tarp	54.67	9.4
536	5752	-999	Tenerife	-999.0	-999.0
537	5753	-999	Tunis	36.83	10.23
538	5758	-999	Vilnius	54.68	25.28
539	5762	-999	Wien	48.25	16.37
540	5765	-999	Zaragoza	41.65	-0.88
541	5766	-999	Cape Tscheljuskin	77.53	105.67
542	5776	-999	Heliopolis	30.08	31.37
543	5777	-999	Khartoum	15.6	32.55
544	5778	-999	Mongalla	5.18	31.77
545	5779	-999	Wadi Halfa	21.8	31.32
546	5780	-999	Aden	12.78	44.98
547	5781	-999	Agra	27.17	78.03
548	5782	-999	Agra	27.17	78.03
549	5783	-999	Ahmedabad	23.03	72.63
550	5784	-999	Ajmer	26.45	74.73
551	5785	-999	Akyab	20.13	92.88
552	5786	-999	Alipore (Calcutta)	22.53	88.4
553	5787	-999	Allahabad	25.42	81.82
554	5788	-999	Allahabad	25.42	81.82
555	5789	-999	Ambala	30.35	76.77
556	5790	-999	Bahrein	26.0	50.58
557	5791	-999	Bait Al Falaj	23.6	58.55
558	5792	-999	Bangalore	12.97	77.6
559	5793	-999	Begumpet (Hyderabad)	17.43	78.45
560	5794	-999	Bellary	15.15	76.95
561	5795	-999	Chittagong	22.25	91.82
562	5796	-999	Colaba (Bombay)	18.9	72.82
563	5797	-999	Dacca	23.62	90.05
564	5798	-999	Darjeeling	27.05	88.3
565	5799	-999	Dera Ismail Khan	31.85	70.93
566	5800	-999	Diamond Harbour	22.18	88.18
567	5801	-999	Gwadar	25.13	62.32
568	5802	-999	Hyderabad	17.45	78.47
569	5803	-999	Jabalpur	23.17	79.98
570	5804	-999	Jacobabad	28.28	68.48
571	5805	-999	Jodhpur	26.27	73.05
572	5806	-999	Jodhpur	26.27	73.05
573	5807	-999	Karachi (Drigh Road)	24.72	66.98
574	5808	-999	Karachi (Drigh Road)	24.72	66.98
575	5809	-999	Kohat	33.57	71.44
576	5810	-999	Lahore	31.52	74.4
