primary_id	file
0-20000-0-10126	CC_GM__Network_M__Code_000__StationId_10122__Latitude_53.5333__Longitude_7.8833__Elev_7.0__dummy_nan__StationName_JEVER__From_1949__To_1952__Nrec_872__
0-20000-0-10147	CC_GM__Network_X__Code_UAE__StationId_05685__Latitude_53.62__Longitude_9.98__Elev_17.0__dummy_nan__StationName_HAMBURG__From_1910__To_1920__Nrec_1104__
0-20000-0-10184	CC_GM__Network_M__Code_000__StationId_10184__Latitude_54.0978__Longitude_13.4075__Elev_2.0__dummy_nan__StationName_GREIFSWALD__From_1950__To_2020__Nrec_72028__
0-20000-0-10200	CC_GM__Network_M__Code_000__StationId_10200__Latitude_53.3894__Longitude_7.2269__Elev_0.0__dummy_nan__StationName_EMDEN-FLUGPLATZ__From_1952__To_2011__Nrec_46395__
0-20000-0-10238	CC_GM__Network_M__Code_000__StationId_10238__Latitude_52.8153__Longitude_9.9247__Elev_70.0__dummy_nan__StationName_BERGEN__From_1969__To_2020__Nrec_48778__
0-20000-0-10304	CC_GM__Network_M__Code_000__StationId_10304__Latitude_52.7156__Longitude_7.3175__Elev_19.0__dummy_nan__StationName_MEPPEN__From_1972__To_2020__Nrec_22073__
0-20000-0-10315	CC_GM__Network_M__Code_000__StationId_10307__Latitude_52.267__Longitude_7.433__Elev_78.0__dummy_nan__StationName_NORDHORN__From_1971__To_1985__Nrec_5346__
0-20000-0-10339	CC_GM__Network_M__Code_000__StationId_10338__Latitude_52.467__Longitude_9.7__Elev_55.0__dummy_nan__StationName_HANNOVER__From_1949__To_1997__Nrec_44613__
0-20000-0-10384	TEMPELHOF__From_1941__To_1993__Nrec_30570__
0-20000-0-10418	CC_GM__Network_M__Code_000__StationId_10419__Latitude_51.2333__Longitude_7.6__Elev_458.0__dummy_nan__StationName_LUDENSCHEID__From_1949__To_1952__Nrec_1004__
0-20000-0-10439	KASSELER__From_1977__To_2007__Nrec_21333__
0-20000-0-10454	CC_GM__Network_M__Code_000__StationId_10454__Latitude_51.85__Longitude_10.7667__Elev_234.0__dummy_nan__StationName_WERNIGERODE__From_1950__To_1964__Nrec_9806__
0-20000-0-10469	CC_GM__Network_M__Code_000__StationId_10468__Latitude_51.55__Longitude_12.0667__Elev_106.0__dummy_nan__StationName_OPPIN__From_2000__To_2006__Nrec_3700__
0-20000-0-10488	CC_GM__Network_M__Code_000__StationId_10486__Latitude_51.11__Longitude_13.67__Elev_249.0__dummy_nan__StationName_WAHNSDORF__From_1950__To_2000__Nrec_40165__
0-20000-0-10513	BONN__From_1962__To_1965__Nrec_1759__
0-20000-0-10554	CC_GM__Network_X__Code_UAC__StationId_00006__Latitude_51.02__Longitude_11.03__Elev_320.0__dummy_nan__StationName_ERFURT__From_1939__To_1942__Nrec_465__
0-20000-0-10605	CC_GM__Network_M__Code_000__StationId_10610__Latitude_49.95__Longitude_6.57__Elev_367.0__dummy_nan__StationName_BITBURG__From_1954__To_1959__Nrec_3760__
0-20000-0-10615	CC_GM__Network_X__Code_UAC__StationId_00002__Latitude_49.75__Longitude_6.98__Elev_273.0__dummy_nan__StationName_TRIER__From_1939__To_1940__Nrec_220__
