primary_id	secondary_id	station_name	latitude	longitude	start	end	file
[]	[53698]		38.029999	114.470001	1956-08-21 00:00:00	1959-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:53698
0-20000-0-12374	[12374]	LEGIONOWO	52.419998	20.969999	1957-04-01 00:00:00	1979-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:12374
0-20000-0-16749	[16749]	RHODES (AIRPORT)	36.380001	28.120001	1949-10-01 00:00:00	1967-12-30 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:16749
0-20000-0-42103	[42103]	AMBALA	30.379999	76.769997	1944-03-09 00:00:00	1963-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:42103
0-20000-0-48094	[48094]	PATHEIN	16.77	94.769997	1954-07-07 00:00:00	1967-07-29 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:48094
[]	[35108]	URALSK	51.25	51.400002	1950-12-05 00:00:00	1979-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:35108
0-20000-0-47636	[47636]	NAGOYA (47636-0)	35.169998	136.970001	1931-01-07 00:00:00	1949-07-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:47636
0-20000-0-43418	[43418]	TRINCOMALEE	8.58	81.25	1954-07-06 00:00:00	1967-12-26 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:43418
0-20000-0-32099	[32099]	MYS TERPENIYA	48.880001	144.630005	1955-03-05 00:00:00	1970-02-13 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:32099
0-20000-0-24234	[24234]	SEATTLE/S.-TACOMA, WA.	47.52	-121.699997	1927-12-31 00:00:00	1928-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1928
0-20000-0-10393	[10393]	LINDENBERG (10393-0)	52.22	14.12	1911-01-02 00:00:00	1911-12-30 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1911
0-20000-0-2935	[2935]	JYVASKYLA AIRPORT	62.400002	25.67	1957-08-02 00:00:00	1979-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:2935
0-20000-0-38954	[38954]	KHOROG	37.5	71.5	1956-02-26 00:00:00	1979-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:38954
0-20000-0-47772	[47772]	OSAKA	34.650002	135.529999	1940-01-06 00:00:00	1953-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:47772
0-20000-0-12375	[12375]	WARSZAWA-OKECIE	52.18	20.969999	1949-09-01 00:00:00	1956-12-30 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:12375
0-20000-0-26063	[26063]	ST.PETERSBURG (VOEJKOVO) (26063-0)	59.970001	30.299999	1946-09-01 00:00:00	1979-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:26063
0-20000-0-72401	[72401]	RICHMOND/BYRD, VA.	37.5	-76.68	1946-05-01 00:00:00	1959-03-30 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:72401
0-20000-0-70308	[70308]	ST. PAUL ISLANDS, AK	57.150002	-170.220001	1948-11-01 00:00:00	1958-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:70308
0-20000-0-47644	[47644]	KIYOSE	35.77	139.529999	1950-05-13 00:00:00	1950-05-30 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:47644
[]	[72232]	BOOTHVILLE WSCMO CIT	29.33	-89.400002	1950-08-16 00:00:00	1979-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:72232
0-20000-0-23933	[23933]	HANTY-MANSIJSK	60.970001	69.07	1946-10-15 00:00:00	1979-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:23933
0-20000-0-72304	[72304]	CAPE HATTERAS, NC.	35.27	-75.550003	1957-03-01 00:00:00	1979-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:72304
0-20000-0-53772	[53772]	TAIYUAN (53772-0)	37.919998	112.519997	1957-03-03 00:00:00	1959-12-03 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:53772
0-20000-0-42809	[42809]	KOLKATA/DUM DUM	22.65	88.449997	1954-01-01 00:00:00	1967-07-30 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:42809
0-20000-0-10393	[10393]	LINDENBERG (10393-0)	52.22	14.12	1912-01-02 00:00:00	1912-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1912
0-20000-0-21432	[21432]	OSTROV KOTEL'NYJ	76.0	137.860001	1942-06-01 00:00:00	1979-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:21432
0-20000-0-47777	[47777]	WAKAYAMA	34.23	135.169998	1937-11-11 00:00:00	1941-02-27 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:47777
0-20000-0-38989	[38989]	TAGTABAZAR	35.900002	62.970001	1951-10-30 00:00:00	1979-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:38989
0-20000-0-35121	[35121]	ORENBURG	51.75	55.099998	1946-11-05 00:00:00	1979-12-31 00:00:00	/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:35121
