	Unnamed: 0	press	hum	temp	datetime	sensor
654927	502	2689	100.0	285.8	2005-02-19 15:00:10+00:00	Vaisala
654932	505	2702	100.0	285.74	2005-02-19 15:00:10+00:00	Vaisala
654937	507	2711	100.0	285.7	2005-02-19 15:00:10+00:00	Vaisala
654942	510	2725	100.0	285.65	2005-02-19 15:00:10+00:00	Vaisala
654947	512	2734	100.0	285.59	2005-02-19 15:00:10+00:00	Vaisala
654952	515	2747	100.0	285.54	2005-02-19 15:00:10+00:00	Vaisala
654957	517	2756	100.0	285.52	2005-02-19 15:00:10+00:00	Vaisala
654962	520	2770	100.0	285.47	2005-02-19 15:00:10+00:00	Vaisala
654967	522	2779	100.0	285.44	2005-02-19 15:00:10+00:00	Vaisala
654972	525	2792	100.0	285.44	2005-02-19 15:00:10+00:00	Vaisala
654977	527	2801	100.0	285.44	2005-02-19 15:00:10+00:00	Vaisala
654982	530	2815	100.0	285.48	2005-02-19 15:00:10+00:00	Vaisala
654987	532	2824	100.0	285.5	2005-02-19 15:00:10+00:00	Vaisala
654992	535	2837	100.0	285.55	2005-02-19 15:00:10+00:00	Vaisala
654997	537	2846	99.01	285.61	2005-02-19 15:00:10+00:00	Vaisala
655002	540	2860	98.72	285.63	2005-02-19 15:00:10+00:00	Vaisala
655007	542	2869	98.12	285.72	2005-02-19 15:00:10+00:00	Vaisala
655012	545	2882	94.43	285.74	2005-02-19 15:00:10+00:00	Vaisala
655017	547	2891	92.72	285.74	2005-02-19 15:00:10+00:00	Vaisala
655022	550	2905	90.19	285.76	2005-02-19 15:00:10+00:00	Vaisala
655027	552	2914	88.44	285.83	2005-02-19 15:00:10+00:00	Vaisala
655032	555	2927	85.25	285.84	2005-02-19 15:00:10+00:00	Vaisala
655037	557	2936	85.02	285.8	2005-02-19 15:00:10+00:00	Vaisala
655042	560	2950	85.21	285.7	2005-02-19 15:00:10+00:00	Vaisala
655047	562	2959	85.62	285.66	2005-02-19 15:00:10+00:00	Vaisala
655052	565	2972	85.62	285.54	2005-02-19 15:00:10+00:00	Vaisala
655057	567	2981	85.66	285.5	2005-02-19 15:00:10+00:00	Vaisala
655062	570	2995	84.48	285.41	2005-02-19 15:00:10+00:00	Vaisala
655067	572	3004	84.03	285.33	2005-02-19 15:00:10+00:00	Vaisala
655072	575	3018	83.24	285.22	2005-02-19 15:00:10+00:00	Vaisala
655077	577	3027	83.0	285.14	2005-02-19 15:00:10+00:00	Vaisala
655082	580	3040	80.02	285.0	2005-02-19 15:00:10+00:00	Vaisala
655087	582	3049	80.68	284.89	2005-02-19 15:00:10+00:00	Vaisala
655092	585	3063	80.99	284.78	2005-02-19 15:00:10+00:00	Vaisala
655097	587	3072	81.32	284.7	2005-02-19 15:00:10+00:00	Vaisala
655102	590	3085	81.61	284.59	2005-02-19 15:00:10+00:00	Vaisala
655107	592	3094	82.04	284.49	2005-02-19 15:00:10+00:00	Vaisala
655112	595	3108	82.04	284.38	2005-02-19 15:00:10+00:00	Vaisala
655117	597	3117	82.27	284.28	2005-02-19 15:00:10+00:00	Vaisala
655122	600	3130	82.67	284.15	2005-02-19 15:00:10+00:00	Vaisala
655127	602	3139	83.66	284.02	2005-02-19 15:00:10+00:00	Vaisala
655132	605	3153	83.6	283.95	2005-02-19 15:00:10+00:00	Vaisala
655137	607	3162	82.75	283.89	2005-02-19 15:00:10+00:00	Vaisala
655142	610	3175	82.67	283.79	2005-02-19 15:00:10+00:00	Vaisala
655147	612	3184	82.87	283.73	2005-02-19 15:00:10+00:00	Vaisala
655152	615	3198	83.6	283.61	2005-02-19 15:00:10+00:00	Vaisala
655157	617	3207	82.98	283.54	2005-02-19 15:00:10+00:00	Vaisala
655162	620	3220	83.45	283.51	2005-02-19 15:00:10+00:00	Vaisala
655167	622	3229	84.4	283.49	2005-02-19 15:00:10+00:00	Vaisala
655172	625	3243	85.5	283.35	2005-02-19 15:00:10+00:00	Vaisala
655177	627	3252	85.29	283.32	2005-02-19 15:00:10+00:00	Vaisala
655182	630	3265	86.51	283.2	2005-02-19 15:00:10+00:00	Vaisala
655187	632	3274	87.96	283.17	2005-02-19 15:00:10+00:00	Vaisala
655192	635	3288	89.92	283.09	2005-02-19 15:00:10+00:00	Vaisala
655197	637	3297	89.82	282.99	2005-02-19 15:00:10+00:00	Vaisala
655202	640	3310	88.99	282.94	2005-02-19 15:00:10+00:00	Vaisala
655207	642	3319	89.01	282.88	2005-02-19 15:00:10+00:00	Vaisala
655212	645	3333	89.3	282.77	2005-02-19 15:00:10+00:00	Vaisala
655217	647	3342	90.52	282.66	2005-02-19 15:00:10+00:00	Vaisala
655222	650	3355	90.83	282.57	2005-02-19 15:00:10+00:00	Vaisala
655227	652	3364	90.61	282.58	2005-02-19 15:00:10+00:00	Vaisala
655232	655	3378	86.84	282.61	2005-02-19 15:00:10+00:00	Vaisala
655237	657	3387	81.15	282.63	2005-02-19 15:00:10+00:00	Vaisala
655242	660	3400	76.34	282.63	2005-02-19 15:00:10+00:00	Vaisala
655247	662	3409	74.93	282.59	2005-02-19 15:00:10+00:00	Vaisala
655252	665	3423	74.43	282.52	2005-02-19 15:00:10+00:00	Vaisala
655257	667	3432	74.29	282.5	2005-02-19 15:00:10+00:00	Vaisala
655262	670	3445	75.38	282.37	2005-02-19 15:00:10+00:00	Vaisala
655267	672	3454	75.38	282.29	2005-02-19 15:00:10+00:00	Vaisala
655272	675	3468	77.72	282.18	2005-02-19 15:00:10+00:00	Vaisala
655277	677	3477	82.19	282.13	2005-02-19 15:00:10+00:00	Vaisala
655282	680	3490	87.5	281.99	2005-02-19 15:00:10+00:00	Vaisala
655287	682	3500	88.85	281.95	2005-02-19 15:00:10+00:00	Vaisala
655292	685	3513	89.2	281.86	2005-02-19 15:00:10+00:00	Vaisala
655297	687	3522	90.03	281.79	2005-02-19 15:00:10+00:00	Vaisala
655302	690	3536	90.61	281.7	2005-02-19 15:00:10+00:00	Vaisala
655307	692	3545	90.55	281.63	2005-02-19 15:00:10+00:00	Vaisala
655312	695	3558	88.35	281.63	2005-02-19 15:00:10+00:00	Vaisala
655317	697	3567	84.71	281.63	2005-02-19 15:00:10+00:00	Vaisala
655322	700	3581	77.93	281.63	2005-02-19 15:00:10+00:00	Vaisala
655327	702	3590	75.3	281.59	2005-02-19 15:00:10+00:00	Vaisala
655332	705	3603	74.99	281.52	2005-02-19 15:00:10+00:00	Vaisala
655337	707	3612	74.99	281.4	2005-02-19 15:00:10+00:00	Vaisala
655342	710	3626	74.99	281.29	2005-02-19 15:00:10+00:00	Vaisala
655347	712	3635	74.99	281.24	2005-02-19 15:00:10+00:00	Vaisala
655352	715	3648	74.99	281.13	2005-02-19 15:00:10+00:00	Vaisala
655357	717	3657	74.99	281.01	2005-02-19 15:00:10+00:00	Vaisala
655362	720	3671	74.99	280.89	2005-02-19 15:00:10+00:00	Vaisala
655367	722	3680	74.99	280.82	2005-02-19 15:00:10+00:00	Vaisala
655372	725	3693	74.5	280.75	2005-02-19 15:00:10+00:00	Vaisala
655377	727	3702	74.5	280.69	2005-02-19 15:00:10+00:00	Vaisala
655382	730	3716	74.99	280.6	2005-02-19 15:00:10+00:00	Vaisala
655387	732	3725	74.99	280.5	2005-02-19 15:00:10+00:00	Vaisala
655392	735	3738	75.01	280.41	2005-02-19 15:00:10+00:00	Vaisala
655397	737	3747	75.74	280.35	2005-02-19 15:00:10+00:00	Vaisala
655402	740	3761	76.01	280.19	2005-02-19 15:00:10+00:00	Vaisala
655407	742	3770	76.01	280.09	2005-02-19 15:00:10+00:00	Vaisala
655412	745	3783	76.01	280.01	2005-02-19 15:00:10+00:00	Vaisala
