primary_id	station_name	files
0-20000-0-12848	MIAMI, FL (72202-0)	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12848']
0-20000-0-12849	FORT LAUDERDALE, FL, FORT LAUDERDALE-HOLYWOOD INT. ARPT	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12849']
0-20000-0-12850	KEY WEST/INT., FL	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12850']
0-20000-0-12852	MIAMI, FL (72202-1)	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12852']
0-20000-0-12853	MIAMI, FL (72202-0)	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12853']
0-20000-0-12854	ORLANDO/JETPORT FL.	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12854']
0-20000-0-12855	VERO BEACH, FL, VERO BEACH MUNI ARPT	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12855']
0-20000-0-12856	LA FE, ISLA DE LA JUVENTUD	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12856']
0-20000-0-12857	ISABEL RUBIO, PINAR DEL RIO	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12857']
0-20000-0-12865	WEST PALM BEACH/ INT. FL.	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12865']
0-20000-0-12877	CABO SAN ANTONIO,  PINAR DEL RIO	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12877']
0-20000-0-12878	AEROP.INTERNACIONAL MERIDA, YUC	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12878']
0-20000-0-12882	DEBRECEN	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.1:12882']
0-20000-0-12901	GALVESTON, TX.	['/raid60/scratch/leo/scratch/era5/odbs/1761/era5.1761.conv.2:12901']
