primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role
0-20000-0-03470	5	67	3470	0	HOLBEACH NO 2	-1	-1	0	0.16	52.85	NA	1969-11-13	1978-03-07	1	0	63	NMS	-1	Boston	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	-0.6679464635281981	0.9879464635281981	52.35	53.35	S. Schroeder	0
0-20000-0-03476	5	68	3476	0	MARHAM	-1	-1	0	0.6	52.6	NA	1948-01-01	1952-03-10	1	0	63	NMS	-1	Bury Saint Edmunds	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	-0.22321351509107457	1.4232135150910745	52.1	53.1	S. Schroeder	0
0-20000-0-03496	5	69	3496	0	WEYBOURNE	-1	-1	0	1.68	52.68	NA	1951-11-19	2001-03-19	1	0	63	NMS	-1	Great Yarmouth	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	0.8552795467067594	2.5047204532932406	52.18	53.18	S. Schroeder	0
0-20000-0-03501	5	70	3501	0	TRAWSGOED	-1	-1	0	356.0	52.42	NA	1992-10-08	2001-05-14	1	0	63	NMS	-1	Aberystwyth	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	355.180151218961	-3.1801512189609866	51.92	52.92	S. Schroeder	0
0-20000-0-03502	5	71	3502	0	ABERPORTH	-1	-1	0	355.44	52.13	NA	1966-10-25	2019-03-29	1	0	63	NMS	-1	Carmarthen	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	354.62549789088325	-3.7454978908832572	51.63	52.63	S. Schroeder	0
0-20000-0-03590	5	72	3590	0	WATTISHAM	-1	-1	0	0.97	52.12	NA	2001-09-17	2005-12-19	1	0	63	NMS	-1	Ipswich	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	0.15568064411711358	1.7843193558828863	51.62	52.62	S. Schroeder	0
0-20000-0-03649	5	73	3649	0	BRIZE NORTON	-1	-1	0	358.42	51.75	NA	2000-06-30	2006-02-02	1	0	63	NMS	-1	Witney	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	357.6123681364397	-0.7723681364396953	51.25	52.25	S. Schroeder	0
0-20000-0-03693	5	74	3693	0	SHOEBURYNESS, LANDWICK	-1	-1	0	0.81	51.53	NA	1966-05-04	2010-12-21	1	0	63	NMS	-1	Southend-on-Sea	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	0.006276869815278752	1.6137231301847215	51.03	52.03	S. Schroeder	0
0-20000-0-03743	5	75	3743	0	LARKHILL	-1	-1	0	358.2	51.2	NA	1948-01-01	2019-03-29	1	0	63	NMS	-1	Salisbury	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	357.4020476241419	-1.0020476241419374	50.7	51.7	S. Schroeder	0
0-20000-0-03774	5	76	3774	0	CHARLWOOD	-1	-1	0	359.78	51.08	NA	1953-05-01	1992-09-30	1	0	63	NMS	-1	Crawley	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	358.98411906901475	0.5758809309851927	50.58	51.58	S. Schroeder	0
