primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role
0-20000-0-08508	5	57	-1	-1	LAJES (ACORES) (8508-0)	-1	-1	0	-27.09	38.75	NA	1958-01-01	1971-03-31	1	0	63	NMS	-1	Angra	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	-27.73112059008674	-26.44887940991326	38.25	39.25	S. Schroeder	0
0-20000-0-13274	5	58	-1	-1	BEOGRAD	-1	-1	0	20.53	44.78	NA	1958-01-01	1971-06-30	1	0	63	NMS	-1	Kaluderica	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	19.825592749141972	21.23440725085803	44.28	45.28	S. Schroeder	0
0-20000-0-14445	5	59	-1	-1	SPLIT/MARJAN	-1	-1	0	16.43	43.52	NA	1958-01-01	1972-08-14	1	0	63	NMS	-1	Split	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	15.740472314834971	17.11952768516503	43.02	44.02	S. Schroeder	0
0-20000-0-78016	5	60	-1	-1	L F WADE INTERNATIONAL AIRPORT	-1	-1	0	-64.7	32.35	NA	1958-01-03	1978-12-31	1	0	63	NMS	-1	Nantucket	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	-65.29185942271782	-64.10814057728219	31.85	32.85	S. Schroeder	0
0-20000-0-72317	5	61	-1	-1	GREENSBORO/G.-HIGH PT., NC.	-1	-1	0	-79.95	36.08	NA	1958-01-01	1978-12-31	1	0	63	NMS	-1	Kernersville	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	-80.56866219020843	-79.33133780979158	35.58	36.58	S. Schroeder	0
0-20000-0-72308	5	62	-1	-1	NORFOLK/INT., VA.	-1	-1	0	-76.2	36.88	NA	1958-01-01	1965-08-02	1	0	63	NMS	-1	Norfolk	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	-76.82508267033997	-75.57491732966004	36.38	37.38	S. Schroeder	0
0-20000-0-72429	5	63	-1	-1	DAYTON/. COX, OH.	-1	-1	0	-84.12	39.87	NA	1958-01-01	1978-12-31	1	0	63	NMS	-1	Huber Heights	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	-84.77146502657494	-83.46853497342507	39.37	40.37	S. Schroeder	0
0-20000-0-01384	5	64	-1	-1	OSLO/GARDERMOEN	-1	-1	0	11.08	60.2	NA	1958-01-01	1978-12-31	1	0	63	NMS	-1	Jessheim	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	10.07391107138453	12.086088928615471	59.7	60.7	S. Schroeder	0
0-20000-0-72221	5	65	-1	-1	VALPARAISO/EGLIN AFB, FL.	-1	-1	0	-86.52	30.48	NA	1958-01-01	1970-05-31	1	0	63	NMS	-1	Niceville	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	-87.10017679390037	-85.93982320609962	29.98	30.98	S. Schroeder	0
0-20000-0-72311	5	66	-1	-1	ATHENS/MUN., GA.	-1	-1	0	-83.32	33.95	NA	1958-01-01	1978-12-31	1	0	63	NMS	-1	Winder	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	-83.92275441067483	-82.71724558932516	33.45	34.45	S. Schroeder	0
0-20000-0-72208	5	67	-1	-1	CHARLESTON/MUN., SC.	-1	-1	0	-80.04	32.9	NA	1958-01-01	1978-12-31	1	0	63	NMS	-1	Hanahan	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	-80.63550758756436	-79.44449241243565	32.4	33.4	S. Schroeder	0
0-20000-0-72206	5	68	-1	-1	JACKSONVILLE/INTNL.,  FL.	-1	-1	0	-81.65	30.42	NA	1958-01-01	1969-04-14	1	0	63	NMS	-1	Jacksonville	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	-82.22981973754196	-81.07018026245805	29.92	30.92	S. Schroeder	0
0-20000-0-72226	5	69	-1	-1	MONTGOMERY/DANNELLY,  AL.	-1	-1	0	-86.4	32.3	NA	1958-01-01	1974-11-11	1	0	63	NMS	-1	Montgomery	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	-86.99153268294887	-85.80846731705114	31.799999999999997	32.8	S. Schroeder	0
0-20001-0-72327	5	70	-1	-1	NASHVILLE/OLD HICKORY, TN.	-1	-1	0	-86.88	36.12	NA	1958-01-01	1978-12-31	1	0	63	NMS	-1	Nashville	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	-87.49897722291315	-86.26102277708684	35.62	36.62	S. Schroeder	0
0-20000-0-74739	5	71	-1	-1	FORT WORTH MEACHAM INT. ARPT	-1	-1	0	-97.45	32.77	NA	1958-01-01	1973-10-29	1	0	63	NMS	-1	White Settlement	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	-98.04463629073761	-96.85536370926239	32.27	33.27	S. Schroeder	0
0-20000-0-72353	5	72	-1	-1	OKLAHOMA CITY/W. ROGERS WORLD, OK.	-1	-1	0	-97.68	35.42	NA	1958-01-01	1971-03-31	1	0	63	NMS	-1	Mustang	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	-98.29355298882643	-97.06644701117358	34.92	35.92	S. Schroeder	0
0-20000-0-72240	5	73	-1	-1	LAKE CHARLES/MUN., LA.	-1	-1	0	-93.15	30.22	NA	1958-01-01	1961-12-31	1	0	63	NMS	-1	Lake Charles	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	-1	-93.72863729287394	-92.57136270712607	29.72	30.72	S. Schroeder	0
